Country	Sample ID	Total Mapped	Total Unmapped	Total Reads	Alignment Percentage	aligner
Nicaragua	SRR4071737	82326	178	82504	99.784	LAST
Nicaragua	SRR4071738	268918	890	269808	99.67	LAST
Nicaragua	SRR4071740	279670	758	280428	99.73	LAST
Nicaragua	SRR4071737	82346	158	82504	99.808	LAST (trained)
Nicaragua	SRR4071738	269302	506	269808	99.812	LAST (trained)
Nicaragua	SRR4071740	279762	666	280428	99.763	LAST (trained)
Nicaragua	SRR4071737	78719	3785	82504	95.412	Bowtie2
Nicaragua	SRR4071738	263751	6057	269808	97.755	Bowtie2
Nicaragua	SRR4071740	274764	5664	280428	97.98	Bowtie2
