Country	Sample ID	Total Mapped	Total Unmapped	Total Reads	Alignment Percentage	aligner
Philippines	HIV2-157	1576988	423012	2000000	78.849	LAST
Philippines	HIV2-171	1776249	223751	2000000	88.812	LAST
Philippines	HIV2-174	1611157	388843	2000000	80.558	LAST
Philippines	HIV2-157	1600280	399720	2000000	80.014	LAST (trained)
Philippines	HIV2-171	1771691	228309	2000000	88.585	LAST (trained)
Philippines	HIV2-174	1754995	245005	2000000	87.75	LAST (trained)
Philippines	HIV2-157	913315	1086685	2000000	45.666	Bowtie2
Philippines	HIV2-171	1603463	396537	2000000	80.173	Bowtie2
Philippines	HIV2-174	785457	1214543	2000000	39.273	Bowtie2
