Country	Sample ID	Total Mapped	Total Unmapped	Total Reads	Alignment Percentage	aligner
Japan	DRR030219	546733	7983	554716	98.561	LAST
Japan	DRR030221	486780	17668	504448	96.498	LAST
Japan	DRR030222	565152	22074	587226	96.241	LAST
Japan	DRR030219	549325	5391	554716	99.028	LAST (trained)
Japan	DRR030221	490021	14427	504448	97.14	LAST (trained)
Japan	DRR030222	569478	17748	587226	96.978	LAST (trained)
Japan	DRR030219	532720	21996	554716	96.035	Bowtie2
Japan	DRR030221	472156	32292	504448	93.599	Bowtie2
Japan	DRR030222	540406	46820	587226	92.027	Bowtie2
