Country	Sample ID	Total Mapped	Total Unmapped	Total Reads	Alignment Percentage	aligner
Philippines	HIV2-157	1470169	529831	2000000	73.508	LAST
Philippines	HIV2-171	1623842	376158	2000000	81.192	LAST
Philippines	HIV2-174	1751545	248455	2000000	87.577	LAST
Philippines	HIV2-157	1598011	401989	2000000	79.901	LAST (trained)
Philippines	HIV2-171	1729531	270469	2000000	86.477	LAST (trained)
Philippines	HIV2-174	1776315	223685	2000000	88.816	LAST (trained)
Philippines	HIV2-157	559428	1440572	2000000	27.971	Bowtie2
Philippines	HIV2-171	625367	1374633	2000000	31.268	Bowtie2
Philippines	HIV2-174	1465771	534229	2000000	73.289	Bowtie2
