Country	Sample ID	Total Mapped	Total Unmapped	Total Reads	Alignment Percentage	aligner
Japan	DRR030219	548429	6287	554716	98.867	LAST
Japan	DRR030221	486977	17471	504448	96.537	LAST
Japan	DRR030222	568746	18480	587226	96.853	LAST
Japan	DRR030219	551771	2945	554716	99.469	LAST (trained)
Japan	DRR030221	491614	12834	504448	97.456	LAST (trained)
Japan	DRR030222	573923	13303	587226	97.735	LAST (trained)
Japan	DRR030219	509839	44877	554716	91.91	Bowtie2
Japan	DRR030221	454501	49947	504448	90.099	Bowtie2
Japan	DRR030222	516455	70771	587226	87.948	Bowtie2
